title,grade,genre,people
라스트 갓파더,6.24,코미디,2541603
라이터를 켜라,7.66,코미디,"470,557"
럭키,8.76,코미디,6975631
런닝맨,7.77,"액션, 코미디",1422844
레나,8.2,"멜로/로맨스, 드라마",3523
레드슈즈,9.15,"애니메이션, 모험",818662
레드 아이,3.23,공포,210793
레슬러,6.43,"드라마, 코미디",771159
로니를 찾아서,7.82,드라마,1478
로마서 8:37,9,"드라마, 가족, 범죄",5059
"로봇, 소리",8.25,드라마,476653
롤러코스터,6.42,코미디,270156
루시드 드림,8.05,"SF, 스릴러",102170
리얼,4.43,"액션, 느와르",470195
마고,3.83,드라마,"14,671"
마녀,8.57,"미스터리, 액션",3189091
마담 뺑덕,6.54,멜로/로맨스,471248
마더,9.45,"범죄, 미스터리",2981953
마돈나,7.81,드라마,18276
마스터,8.65,"액션, 범죄",7147924
마약왕,7.18,"범죄, 드라마",1864077
마음이...,8.96,"가족, 드라마",817939
마이웨이,7.17,드라마,2142670
마이 파더,8.41,드라마,901055
마파도,7.16,"코미디, 모험",2636857
만남의광장,6.03,코미디,1211528
만추,9.44,드라마,850411
말아톤,9.22,드라마,4196859
말죽거리 잔혹사,8.77,"드라마, 액션",604972
망원동 인공위성,8.72,다큐멘터리,3022
멋진 하루,8.19,"드라마, 멜로/로맨스",397669
명량,8.88,"액션, 드라마",17615658
맨데이트: 신이 주신 임무,3.43,"액션, 스릴러, 판타지",12144
맨발의 기봉이,7.21,"코미디, 드라마",2005180
맨홀,6.03,"공포, 스릴러",133665
메소드(영화),8.07,"드라마, 멜로/로맨스",26651
모노폴리,6.4,"범죄, 스릴러",358299
목숨 건 연애,7.53,"멜로/로맨스, 코미디",48010
목포는 항구다,6.87,"코미디, 액션",425725
몬스터,6.26,스릴러,526547
무뢰한,7.3,"멜로/로맨스, 드라마",415510
무방비도시,7.55,"범죄, 액션",1600856
무사,8.84,"드라마, 액션","857,148"
무서운 이야기,4.97,공포,97804
무서운 이야기 2,6.62,공포,495535
무서운 이야기 3,4.97,공포,97804
무서운 집,8.94,공포,1079
무수단,7.64,"미스터리, 스릴러",15882
무영검,6.81,액션,519722
