title,grade,genre,people,genre2
레나,8.2,"멜로/로맨스, 드라마",3523,멜로/로맨스
레드슈즈,9.15,"애니메이션, 모험",818662,애니메이션
레드 아이,3.23,공포,210793,공포
레슬러,6.43,"드라마, 코미디",771159,코미디
로니를 찾아서,7.82,드라마,1478,드라마
로마서 8:37,9,"드라마, 가족, 범죄",5059,가족
"로봇, 소리",8.25,드라마,476653,드라마
롤러코스터,6.42,코미디,270156,코미디
루시드 드림,8.05,"SF, 스릴러",102170,SF
리얼,4.43,"액션, 느와르",470195,느와르
마고,3.83,드라마,"14,671",드라마
마녀,8.57,"미스터리, 액션",3189091,미스터리
마담 뺑덕,6.54,멜로/로맨스,471248,멜로/로맨스
마더,9.45,"범죄, 미스터리",2981953,미스터리
마돈나,7.81,드라마,18276,드라마
마스터,8.65,"액션, 범죄",7147924,액션
마약왕,7.18,"범죄, 드라마",1864077,범죄
마음이...,8.96,"가족, 드라마",817939,가족
마이웨이,7.17,드라마,2142670,드라마
마이 파더,8.41,드라마,901055,드라마
마파도,7.16,"코미디, 모험",2636857,코미디
만남의광장,6.03,코미디,1211528,코미디
만추,9.44,드라마,850411,드라마
말아톤,9.22,드라마,4196859,드라마
말죽거리 잔혹사,8.77,"드라마, 액션",604972,액션
망원동 인공위성,8.72,다큐멘터리,3022,다큐멘터리
멋진 하루,8.19,"드라마, 멜로/로맨스",397669,멜로/로맨스
명량,8.88,"액션, 드라마",17615658,액션
맨데이트: 신이 주신 임무,3.43,"액션, 스릴러, 판타지",12144,액션
맨발의 기봉이,7.21,"코미디, 드라마",2005180,코미디
맨홀,6.03,"공포, 스릴러",133665,"공포, 스릴러"
메소드(영화),8.07,"드라마, 멜로/로맨스",26651,멜로/로맨스
모노폴리,6.4,"범죄, 스릴러",358299,범죄
목숨 건 연애,7.53,"멜로/로맨스, 코미디",48010,로맨틱코미디
목포는 항구다,6.87,"코미디, 액션",425725,코미디
몬스터,6.26,스릴러,526547,스릴러
무뢰한,7.3,"멜로/로맨스, 드라마",415510,멜로/로맨스
무방비도시,7.55,"범죄, 액션",1600856,범죄
무사,8.84,"드라마, 액션","857,148",액션
무서운 이야기,4.97,공포,97804,공포
무서운 이야기 2,6.62,공포,495535,공포
무서운 이야기 3,4.97,공포,97804,공포
무서운 집,8.94,공포,1079,공포
무수단,7.64,"미스터리, 스릴러",15882,스릴러
무영검,6.81,액션,519722,액션
"무현, 두 도시 이야기",9.44,다큐멘터리,197225,다큐멘터리
미나 문방구,7.06,"드라마, 코미디",334323,코미디
미녀는 괴로워,8.79,"코미디, 멜로/로맨스",6081480,로맨틱코미디
미술관 옆 동물원,8.75,"멜로/로맨스, 드라마","412,472",멜로/로맨스
미스터 고,7.76,"드라마, 코미디, 액션",1329061,코미디
미스터 소크라테스,7.78,"범죄, 액션, 코미디",1066103,범죄
미스 프레지던트,8.13,다큐멘터리,6749,다큐멘터리
미쓰 백,9.26,드라마,723110,드라마
미쓰 와이프,8.68,코미디,988451,코미디
미씽: 사라진 여자,8.53,"미스터리, 가족",1153201,미스터리
미인도,6.32,"멜로/로맨스, 드라마",2342579,멜로/로맨스
미확인 동영상: 절대클릭금지,6.15,"공포, 스릴러",867386,"공포, 스릴러"
밀양(영화),7.89,드라마,1604819,드라마
밀정,8.57,액션,7500457,액션
바람,9.27,"드라마, 액션, 가족",103628,액션
바람과 함께 사라지다,7.59,"코미디, 액션",4909944,코미디
바람난 가족,6.85,드라마,"1,748,258",드라마
