team,cp1,cp2,cp3,cp4,cp5,pl1,pl2,pl3,pl4,pl5,score,date,stage,title
킹존 드래곤X,초가스,녹턴,야스오,스웨인,알리스타,KZ Khan,KZ Cuzz,KZ BDD,KZ PraY,KZ GorillA,0,2018.07.24,2018 LCK 섬머 정규 시즌,30일차 1경기 1세트
Griffin,나르,트런들,오리아나,이즈리얼,파이크,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,1,2018.07.24,2018 LCK 섬머 정규 시즌,30일차 1경기 2세트
킹존 드래곤X,제이스,녹턴,벨코즈,스웨인,알리스타,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,0,2018.07.24,2018 LCK 섬머 정규 시즌,30일차 1경기 2세트
Gen.G,갱플랭크,그라가스,스웨인,이즈리얼,탐 켄치,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,0,2018.07.24,2018 LCK 섬머 정규 시즌,30일차 2경기 1세트
kt 롤스터,제이스,세주아니,갈리오,자야,라칸,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.07.24,2018 LCK 섬머 정규 시즌,30일차 2경기 1세트
Gen.G,스웨인,스카너,조이,바루스,모르가나,Gen G CuVee,Gen G Ambition,Fly,Gen G Ruler,Gen G CoreJJ,0,2018.07.24,2018 LCK 섬머 정규 시즌,30일차 2경기 2세트
kt 롤스터,나르,세주아니,라이즈,카이사,쉔,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.07.24,2018 LCK 섬머 정규 시즌,30일차 2경기 2세트
SKT T1,제이스,세주아니,스웨인,자야,라칸,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 1경기 1세트
bbq olivers,카밀,트런들,갈리오,이즈리얼,알리스타,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 1경기 1세트
SKT T1,케넨,트런들,오리아나,블라디미르,파이크,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 1경기 2세트
bbq olivers,나르,세주아니,아지르,자야,라칸,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 1경기 2세트
SKT T1,제이스,세주아니,르블랑,애쉬,탐 켄치,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 1경기 3세트
bbq olivers,그라가스,킨드레드,조이,모르가나,파이크,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 1경기 3세트
진에어 그린윙스,말파이트,녹턴,오리아나,블라디미르,쉔,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 2경기 1세트
한화생명,제이스,탈리야,라이즈,카이사,브라움,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 2경기 1세트
진에어 그린윙스,갱플랭크,녹턴,오리아나,블라디미르,그라가스,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 2경기 2세트
한화생명,카밀,트런들,조이,자야,쉔,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 2경기 2세트
진에어 그린윙스,케넨,녹턴,오리아나,모데카이저,그라가스,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 2경기 3세트
한화생명,카밀,세주아니,조이,이즈리얼,쉔,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 2경기 3세트
MVP,모데카이저,트런들,카서스,트리스타나,브라움,MVP Max,MVP Yondu,MVP Ian,MVP Pilot,MVP Motive,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 3경기 1세트
아프리카 프릭스,나르,그라가스,스웨인,바루스,알리스타,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 3경기 1세트
MVP,하이머딩거,그라가스,야스오,트리스타나,브라움,MVP Max,MVP Yondu,MVP Ian,MVP Pilot,MVP Motive,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 3경기 2세트
아프리카 프릭스,카밀,트런들,탈론,스웨인,알리스타,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 3경기 2세트
MVP,신지드,탈리야,조이,이즈리얼,쉔,MVP Max,MVP Yondu,MVP Ian,MVP Pilot,MVP Motive,0,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 3경기 3세트
아프리카 프릭스,갱플랭크,그라가스,야스오,스웨인,파이크,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.07.25,2018 LCK 섬머 정규 시즌,31일차 3경기 3세트
kt 롤스터,나르,카직스,말자하,이즈리얼,쉔,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,0,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 1경기 1세트
킹존 드래곤X,초가스,트런들,스웨인,칼리스타,알리스타,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 1경기 1세트
kt 롤스터,나르,탈리야,아지르,카이사,쉔,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 1경기 2세트
킹존 드래곤X,카밀,트런들,오리아나,스웨인,파이크,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,0,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 1경기 2세트
kt 롤스터,오른,그레이브즈,아지르,카이사,쉔,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,0,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 1경기 3세트
킹존 드래곤X,초가스,트런들,제라스,바루스,탐 켄치,KZ Rascal,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 1경기 3세트
Gen.G,나르,트런들,조이,애쉬,알리스타,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 2경기 1세트
Griffin,스웨인,킨드레드,오리아나,야스오,탐 켄치,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,0,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 2경기 1세트
Gen.G,나르,세주아니,갈리오,이즈리얼,알리스타,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 2경기 2세트
Griffin,초가스,킨드레드,오리아나,야스오,모르가나,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,0,2018.07.26,2018 LCK 섬머 정규 시즌,32일차 2경기 2세트
bbq olivers,초가스,트런들,아지르,애쉬,탐 켄치,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 1경기 1세트
한화생명,나르,킨드레드,라이즈,오리아나,쉔,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 1경기 1세트
bbq olivers,나르,트런들,아지르,이즈리얼,탐 켄치,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,1,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 1경기 2세트
한화생명,케넨,세주아니,라이즈,스웨인,파이크,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,0,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 1경기 2세트
bbq olivers,문도 박사,세주아니,아지르,애쉬,탐 켄치,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 1경기 3세트
한화생명,다리우스,트런들,라이즈,오리아나,쉔,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 1경기 3세트
SKT T1,갱플랭크,세주아니,스웨인,바루스,탐 켄치,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,1,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 2경기 1세트
진에어 그린윙스,나르,스카너,라이즈,자야,라칸,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 2경기 1세트
SKT T1,오른,킨드레드,오리아나,이즈리얼,탐 켄치,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,1,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 2경기 2세트
진에어 그린윙스,제이스,트런들,르블랑,진,모르가나,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.07.27,2018 LCK 섬머 정규 시즌,33일차 2경기 2세트
아프리카 프릭스,나르,세주아니,코르키,카이사,브라움,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,0,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 1경기 1세트
킹존 드래곤X,초가스,자크,아지르,이즈리얼,탐 켄치,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 1경기 1세트
아프리카 프릭스,카밀,녹턴,오리아나,카이사,알리스타,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,0,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 1경기 2세트
킹존 드래곤X,나르,세주아니,조이,이즈리얼,탐 켄치,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 1경기 2세트
Griffin,나르,자크,조이,이즈리얼,알리스타,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,1,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 2경기 1세트
MVP,케넨,세주아니,갈리오,스웨인,쉔,MVP ADD,MVP Yondu,MVP Ian,MVP Pilot,MVP Motive,0,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 2경기 1세트
Griffin,나르,세주아니,야스오,티모,알리스타,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,1,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 2경기 2세트
MVP,초가스,그라가스,조이,이즈리얼,라칸,MVP ADD,MVP Yondu,MVP Ian,MVP Pilot,MVP Max,0,2018.07.28,2018 LCK 섬머 정규 시즌,34일차 2경기 2세트
Gen.G,갱플랭크,트런들,조이,바루스,소라카,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,0,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 1경기 1세트
SKT T1,케넨,세주아니,라이즈,애쉬,탐 켄치,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,1,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 1경기 1세트
Gen.G,나르,카밀,조이,애쉬,쉔,Gen G CuVee,Gen G Haru,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 1경기 2세트
SKT T1,퀸,그라가스,르블랑,이즈리얼,브라움,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,0,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 1경기 2세트
Gen.G,카밀,신 짜오,아우렐리온 솔,이즈리얼,탐 켄치,Gen G CuVee,Gen G Haru,Gen G Fly,Gen G Ruler,Gen G CoreJJ,0,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 1경기 3세트
SKT T1,제이스,탈리야,스웨인,애쉬,알리스타,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,1,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 1경기 3세트
bbq olivers,갱플랭크,킨드레드,아지르,스웨인,그라가스,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 2경기 1세트
kt 롤스터,나르,세주아니,바루스,코그모,알리스타,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 2경기 1세트
bbq olivers,나르,세주아니,아지르,자야,라칸,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 2경기 2세트
kt 롤스터,카밀,그라가스,조이,트리스타나,쉔,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.07.29,2018 LCK 섬머 정규 시즌,35일차 2경기 2세트
Griffin,제이스,세주아니,오리아나,티모,소라카,FIN Sword,FIN Tarzan,FIN Rather,FIN Viper,FIN Lehends,1,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 1경기 1세트
진에어 그린윙스,갱플랭크,킨드레드,카르마,이즈리얼,탐 켄치,Jin Air SoHwan,Jin air KaKAO,Jin Air Justice,Jin Air Teddy,Jin Air Nova,0,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 1경기 1세트
Griffin,문도 박사,엘리스,오리아나,제이스,파이크,FIN Sword,FIN Tarzan,FIN Rather,FIN Viper,FIN Lehends,0,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 1경기 2세트
진에어 그린윙스,말파이트,트런들,르블랑,이즈리얼,브라움,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,1,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 1경기 2세트
Griffin,초가스,세주아니,조이,카이사,모르가나,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,0,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 1경기 3세트
진에어 그린윙스,나르,스카너,오리아나,진,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,1,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 1경기 3세트
킹존 드래곤X,나르,그라가스,라이즈,바루스,탐 켄치,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,0,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 2경기 1세트
한화생명,갱플랭크,트런들,벨코즈,이즈리얼,브라움,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 2경기 1세트
킹존 드래곤X,갱플랭크,그라가스,조이,바루스,알리스타,KZ Rascal,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 2경기 2세트
한화생명,카밀,트런들,갈리오,이즈리얼,브라움,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,0,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 2경기 2세트
킹존 드래곤X,갱플랭크,트런들,아우렐리온 솔,이즈리얼,소라카,KZ Rascal,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 2경기 3세트
한화생명,오른,킨드레드,조이,카이사,탐 켄치,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,0,2018.07.31,2018 LCK 섬머 정규 시즌,36일차 2경기 3세트
Gen.G,케넨,트런들,오리아나,애쉬,알리스타,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 1경기 1세트
bbq olivers,나르,그라가스,코르키,바루스,탐 켄치,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 1경기 1세트
Gen.G,케넨,세주아니,오리아나,애쉬,알리스타,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 1경기 2세트
bbq olivers,럼블,그라가스,조이,바루스,탐 켄치,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 1경기 2세트
SKT T1,케넨,세주아니,스웨인,이즈리얼,쉔,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,1,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 2경기 1세트
아프리카 프릭스,제이스,트런들,애니비아,진,모르가나,Afreeca Kiin,Afreeca Mowgli,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,0,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 2경기 1세트
SKT T1,갱플랭크,트런들,오리아나,자야,알리스타,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,0,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 2경기 2세트
아프리카 프릭스,블라디미르,그라가스,야스오,스웨인,쉔,Afreeca Kiin,Afreeca Mowgli,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 2경기 2세트
SKT T1,라이즈,그라가스,제이스,애쉬,탐 켄치,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,0,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 2경기 3세트
아프리카 프릭스,갱플랭크,자크,벨코즈,바루스,알리스타,Afreeca Kiin,Afreeca Mowgli,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.08.01,2018 LCK 섬머 정규 시즌,37일차 2경기 3세트
MVP,초가스,세주아니,오리아나,바루스,브라움,MVP ADD,MVP Yondu,MVP Ian,MVP Pilot,MVP Max,0,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 1경기 1세트
한화생명,카밀,스카너,라이즈,이즈리얼,쉔,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 1경기 1세트
MVP,갱플랭크,트런들,제라스,이즈리얼,브라움,MVP ADD,MVP Yondu,MVP Ian,MVP Pilot,MVP Max,0,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 1경기 2세트
한화생명,블라디미르,스카너,아지르,진,탐 켄치,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 1경기 2세트
kt 롤스터,나르,트런들,라이즈,카이사,알리스타,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,0,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 2경기 1세트
진에어 그린윙스,케넨,킨드레드,오리아나,블라디미르,쉔,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,1,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 2경기 1세트
kt 롤스터,케넨,그라가스,라이즈,트리스타나,라칸,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 2경기 2세트
진에어 그린윙스,블라디미르,트런들,오리아나,자야,알리스타,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 2경기 2세트
kt 롤스터,나르,세주아니,아지르,바루스,모르가나,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 2경기 3세트
진에어 그린윙스,갱플랭크,스카너,오리아나,이즈리얼,쉔,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.08.02,2018 LCK 섬머 정규 시즌,38일차 2경기 3세트
Griffin,초가스,트런들,라이즈,카이사,브라움,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,1,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 1경기 1세트
SKT T1,오른,킨드레드,스웨인,바루스,탐 켄치,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,0,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 1경기 1세트
Griffin,초가스,트런들,라이즈,카이사,파이크,FIN Sword,FIN Tarzan,FIN Chovy,FIN Viper,FIN Lehends,1,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 1경기 2세트
SKT T1,제이스,그라가스,오리아나,이즈리얼,탐 켄치,SKT T1 Thal,SKT T1 Blank,SKT T1 Pirean,SKT T1 Bang,SKT T1 Effort,0,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 1경기 2세트
Gen.G,나르,트런들,조이,바루스,알리스타,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 2경기 1세트
진에어 그린윙스,케넨,녹턴,오리아나,진,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 2경기 1세트
Gen.G,케넨,세주아니,오리아나,카이사,탐 켄치,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,0,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 2경기 2세트
진에어 그린윙스,나르,트런들,스웨인,케이틀린,브라움,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,1,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 2경기 2세트
Gen.G,초가스,세주아니,조이,애쉬,탐 켄치,Gen G CuVee,Gen G Ambition,Gen G Crown,Gen G Ruler,Gen G CoreJJ,1,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 2경기 3세트
진에어 그린윙스,케넨,그라가스,오리아나,바루스,브라움,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Nova,0,2018.08.04,2018 LCK 섬머 정규 시즌,39일차 2경기 3세트
아프리카 프릭스,나르,그라가스,애니비아,이즈리얼,라칸,Afreeca Kiin,Afreeca Mowgli,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,0,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 1경기 1세트
한화생명,케넨,트런들,라이즈,카이사,레오나,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 1경기 1세트
아프리카 프릭스,나르,그라가스,벨코즈,바루스,알리스타,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,1,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 1경기 2세트
한화생명,초가스,스카너,라이즈,진,탐 켄치,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,0,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 1경기 2세트
아프리카 프릭스,라이즈,카밀,말자하,바루스,쉔,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Aiming,Afreeca TusiN,0,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 1경기 3세트
한화생명,초가스,트런들,조이,카이사,알리스타,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,1,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 1경기 3세트
bbq olivers,제이스,트런들,아지르,바루스,브라움,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 2경기 1세트
킹존 드래곤X,그라가스,카밀,아우렐리온 솔,애쉬,탐 켄치,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 2경기 1세트
bbq olivers,문도 박사,세주아니,아지르,바루스,알리스타,bbq Crazy,bbq Trick,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 2경기 2세트
킹존 드래곤X,갱플랭크,자크,라이즈,애쉬,탐 켄치,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.08.05,2018 LCK 섬머 정규 시즌,40일차 2경기 2세트
Gen.G,나르,그라가스,조이,애쉬,탐 켄치,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 1경기 1세트
MVP,케넨,스카너,오리아나,카이사,알리스타,MVP ADD,MVP Yondu,MVP Ian,MVP Pilot,MVP Max,0,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 1경기 1세트
Gen.G,나르,세주아니,조이,애쉬,브라움,Gen G CuVee,Gen G Ambition,Gen G Fly,Gen G Ruler,Gen G CoreJJ,1,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 1경기 2세트
MVP,갱플랭크,아무무,오리아나,바루스,모르가나,MVP ADD,MVP Yondu,MVP Ian,MVP Pilot,MVP Max,0,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 1경기 2세트
kt 롤스터,케넨,킨드레드,아지르,애쉬,탐 켄치,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 2경기 1세트
한화생명,초가스,트런들,르블랑,바루스,브라움,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,0,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 2경기 1세트
kt 롤스터,제이스,그라가스,르블랑,이즈리얼,탐 켄치,KT Smeb,KT Score,KT Ucal,KT Deft,KT Mata,1,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 2경기 2세트
한화생명,갱플랭크,트런들,말자하,바루스,알리스타,HLE Lindarang,HLE SeongHwan,HLE Lava,HLE Sangyoon,HLE Key,0,2018.08.07,2018 LCK 섬머 정규 시즌,41일차 2경기 2세트
아프리카 프릭스,케넨,올라프,아트록스,스웨인,그라가스,Afreeca Kiin,Afreeca Spirit,Afreeca kuro,Afreeca Kramer,Afreeca TusiN,1,2018.08.08,2018 LCK 섬머 정규 시즌,42일차 1경기 1세트
