"[2019 우리은행 LCK Summer] SKT vs. KZ - AF vs. DWG',","460911928',",,2019년 8월 1일,
"[2019 우리은행 LCK Summer] GRF vs. SKT - DWG vs. JAG',","459039482',",,2019년 7월 28일,
"[2019 우리은행 LCK Summer] KZ vs. AF - GEN vs. KT',","458591527',",,2019년 7월 27일,
"[2019 우리은행 LCK Summer] DWG vs. SB - JAG vs. HLE',","458138005',",,2019년 7월 26일,
"[2019 우리은행 LCK Summer] KT vs. GRF - SKT vs. GEN',","457679947',",,2019년 7월 25일,
"[2019 우리은행 LCK Summer] JAG vs. AF - HLE vs. SB',","455831891',",,2019년 7월 21일,
"[2019 우리은행 LCK Summer] GRF vs. DWG - GEN vs. KZ',","455341085',",,2019년 7월 20일,
"[2019 우리은행 LCK Summer] JAG vs. SKT - AF vs. KT',","454871360',",,2019년 7월 19일,
"[2019 우리은행 LCK Summer] SB vs. GEN - KZ vs. HLE',","454404102',",,2019년 7월 18일,
"[2019 우리은행 LCK Summer] AF vs. GRF - HLE vs. GEN',","452561876',",,2019년 7월 14일,
"[2019 우리은행 LCK Summer] SB vs. JAG - DWG vs. KZ',","452107420',",,2019년 7월 13일,
"[2019 우리은행 LCK Summer] GRF vs. GEN - KT vs. SKT',","451646082',",,2019년 7월 12일,
"[2019 우리은행 LCK Summer] SB vs. DWG - AF vs. JAG',","451187873',",,2019년 7월 11일,
"[2019 우리은행 LCK Summer] KT vs. KZ - SKT vs. HLE',","450724293',",,2019년 7월 10일,
"FINALS | Rift Rivals: KR vs. CN (2019)',","449372886',",,2019년 7월 7일,
"SEMI FINALS | Rift Rivals: CN vs. LMS/VN (2019)',","448928259',",,2019년 7월 6일,
"Day 2 | Rift Rivals: KR/CN/LMS/VN (2019)',","448474946',",,2019년 7월 5일,
"Day 1 | Rift Rivals: KR/CN/LMS/VN (2019)',","448147483',",,2019년 7월 4일,
"Day 1 | Rift Rivals: KR/CN/LMS/VN (2019)',","448060973',",,2019년 7월 4일,
"[2019 우리은행 LCK Summer] DWG vs. HLE - KZ vs. GRF',","446237876',",,2019년 6월 30일,
"[2019 우리은행 LCK Summer] GEN vs. SKT - KT vs. AF',","445776313',",,2019년 6월 29일,
"[2019 우리은행 LCK Summer] HLE vs. KZ - JAG vs. SB',","445375380',",,2019년 6월 28일,
